eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.61,-2.690000057220459,21.0,0.00037851440720260143,0.0,2.7076826095581055,-0.0007718160632066429,0.3207179307937622,0.005283653736114502,1.0,256.0,746.2087895,16384.0
81.64,-2.809999942779541,22.0,0.00046924303751438856,0.0,2.7057735919952393,-0.00042966403998434544,0.15765734016895294,0.025301694869995117,2.0,512.0,1489.3023809000001,32768.0
78.19,-2.2200000286102295,23.0,0.0015753000043332577,0.0022176105994731188,2.699652671813965,-0.0009739113156683743,0.15177613496780396,0.09239399433135986,3.0,768.0,2177.5979388,49152.0
86.99,-2.4800000190734863,26.0,0.0015176421729847789,0.0068562827073037624,2.6967954635620117,-0.0018154314020648599,0.1306450515985489,0.2025521993637085,4.0,1024.0,2814.87364,65536.0
81.87,-2.319999933242798,25.0,0.002212172606959939,0.01080322265625,2.688779592514038,-0.0018580592004582286,0.14745795726776123,0.27812081575393677,5.0,1280.0,3470.474444,81920.0
83.49,-2.140000104904175,26.0,0.0013572972966358066,0.0054524741135537624,2.682753324508667,-0.0020419892389327288,0.11698178201913834,0.4085760712623596,6.0,1536.0,4096.4015946,98304.0
84.64,-2.4800000190734863,25.0,0.0038901364896446466,0.02620442770421505,2.6747686862945557,-0.004461108706891537,0.10797348618507385,0.4415563941001892,7.0,1792.0,4736.432907199999,114688.0
85.12,-1.659999966621399,25.0,0.003053429536521435,0.01969400979578495,2.6664159297943115,-0.003514506621286273,0.09798091650009155,0.503393292427063,8.0,2048.0,5370.775839999999,131072.0
85.77,-1.6299999952316284,25.0,0.00379568082280457,0.0308837890625,2.6619060039520264,-0.004893803969025612,0.09800507873296738,0.5422481000423431,9.0,2304.0,6004.482203899999,147456.0
86.48,-2.109999895095825,26.0,0.003582443343475461,0.0332438163459301,2.6520562171936035,-0.006719732191413641,0.0956573486328125,0.5163615345954895,10.0,2560.0,6633.3704535,163840.0
86.59,-1.809999942779541,26.0,0.0035781264305114746,0.02608235739171505,2.6546266078948975,-0.005535392556339502,0.06036077439785004,0.5826767981052399,11.0,2816.0,7261.685074399999,180224.0
84.92,-1.1200000047683716,25.0,0.004725392907857895,0.0507405586540699,2.642216205596924,-0.008327163755893707,0.06710072606801987,0.5431253910064697,12.0,3072.0,7898.909670999999,196608.0
81.39,-1.3700000047683716,26.0,0.004875643644481897,0.0482381172478199,2.63165020942688,-0.008360829204320908,0.07643771916627884,0.5611031651496887,13.0,3328.0,8524.117530700001,212992.0
88.02,-1.3899999856948853,25.0,0.004948419518768787,0.0505167655646801,2.617502212524414,-0.009244728833436966,0.06310968101024628,0.5911657214164734,14.0,3584.0,9159.9116221,229376.0
84.13,-0.6100000143051147,26.0,0.005052605178207159,0.0556640625,2.626173973083496,-0.010560150258243084,0.05432121083140373,0.6075264513492584,15.0,3840.0,9779.6156771,245760.0
83.53,-0.8399999737739563,26.0,0.006602827925235033,0.0780232772231102,2.6240556240081787,-0.009805959649384022,0.05988914147019386,0.6164989173412323,16.0,4096.0,10407.167233400001,262144.0
83.22,-0.009999999776482582,26.0,0.00581425940617919,0.0703125,2.5993270874023438,-0.01185806468129158,0.05886973440647125,0.5425538718700409,17.0,4352.0,11025.3829006,278528.0
78.72,-0.4099999964237213,25.0,0.006856374908238649,0.0868733748793602,2.584099292755127,-0.011834695003926754,0.06173088029026985,0.6008669435977936,18.0,4608.0,11669.558845700001,294912.0
81.04,0.20000000298023224,26.0,0.007509683724492788,0.0989990234375,2.5703470706939697,-0.011615167371928692,0.045639216899871826,0.6637714207172394,19.0,4864.0,12291.533193500001,311296.0
83.92,0.17000000178813934,26.0,0.007171125616878271,0.09185791015625,2.5713489055633545,-0.011949408799409866,0.04438723623752594,0.5967581272125244,20.0,5120.0,12913.334894900001,327680.0
80.91,0.5199999809265137,25.0,0.008133639581501484,0.1087239608168602,2.5517098903656006,-0.01292971521615982,0.04604503512382507,0.5869543552398682,21.0,5376.0,13547.244463,344064.0
76.98,0.03999999910593033,26.0,0.008537580259144306,0.1125081405043602,2.5213475227355957,-0.01110085565596819,0.04590735211968422,0.6974540948867798,22.0,5632.0,14166.339573700001,360448.0
82.12,0.3700000047683716,26.0,0.009149986319243908,0.1186930313706398,2.5191750526428223,-0.01265287771821022,0.037953492254018784,0.7238940298557281,23.0,5888.0,14796.6427949,376832.0
83.1,0.8500000238418579,25.0,0.0095629608258605,0.1286417692899704,2.525192975997925,-0.013373867608606815,0.04465476796030998,0.6415939629077911,24.0,6144.0,15430.6430445,393216.0
82.27,0.03999999910593033,25.0,0.009631403721868992,0.130859375,2.5319197177886963,-0.012916721403598785,0.05087370052933693,0.6604718267917633,25.0,6400.0,16063.5930376,409600.0
87.25,1.0299999713897705,26.0,0.010661625303328037,0.14654541015625,2.5275917053222656,-0.009282741695642471,0.07274691015481949,0.6263943612575531,26.0,6656.0,16689.8645062,425984.0
85.38,1.2000000476837158,26.0,0.009202715940773487,0.1235758438706398,2.5041298866271973,-0.014165851287543774,0.03562502562999725,0.7921278178691864,27.0,6912.0,17316.7002397,442368.0
82.09,0.8199999928474426,26.0,0.010827732272446156,0.1483357697725296,2.483525514602661,-0.015053871087729931,0.05167471989989281,0.6996285617351532,28.0,7168.0,17932.8555547,458752.0
83.89,1.5099999904632568,26.0,0.009948300197720528,0.13226318359375,2.4836831092834473,-0.015842681750655174,0.04111160710453987,0.7692452669143677,29.0,7424.0,18546.947034200002,475136.0
88.18,1.4299999475479126,25.0,0.010840370319783688,0.1442667692899704,2.4992756843566895,-0.013686067424714565,0.03363695740699768,0.7948708534240723,30.0,7680.0,19178.6913563,491520.0
80.47,1.5700000524520874,26.0,0.011573627591133118,0.1480509489774704,2.509563684463501,-0.016321076080203056,0.041317883878946304,0.7484915852546692,31.0,7936.0,19796.2777001,507904.0
83.85,1.5199999809265137,26.0,0.01226192805916071,0.1592000275850296,2.48352313041687,-0.016613926738500595,0.05898880586028099,0.7206390500068665,32.0,8192.0,20408.724017700002,524288.0
85.61,1.9500000476837158,26.0,0.01087734755128622,0.1455078125,2.5069010257720947,-0.014148327521979809,0.042009834200143814,0.7757901698350906,33.0,8448.0,21016.0408084,540672.0
91.21,1.5499999523162842,26.0,0.010573086328804493,0.1405029296875,2.4883716106414795,-0.018400242552161217,0.04480111598968506,0.7875914573669434,34.0,8704.0,21640.8918206,557056.0
92.18,1.6200000047683716,26.0,0.01031100656837225,0.1371053010225296,2.4992237091064453,-0.01725735515356064,0.04011312499642372,0.7977917939424515,35.0,8960.0,22262.5322298,573440.0
93.6,2.200000047683716,27.0,0.01299599464982748,0.1670939177274704,2.4665372371673584,-0.012106161564588547,0.06682545691728592,0.6947008371353149,36.0,9216.0,22866.6813708,589824.0
89.19,1.909999966621399,26.0,0.01170042809098959,0.1540934294462204,2.4568636417388916,-0.016757365316152573,0.033585380762815475,0.8051381409168243,37.0,9472.0,23475.7467443,606208.0
92.69,2.0999999046325684,26.0,0.01235898956656456,0.1545003205537796,2.4615628719329834,-0.015067373402416706,0.04968256875872612,0.753163531422615,38.0,9728.0,24095.5883229,622592.0
98.3,2.390000104904175,27.0,0.012122835032641888,0.1617431640625,2.453321933746338,-0.019201496616005898,0.03260919079184532,0.7962153106927872,39.0,9984.0,24701.1472934,638976.0
93.99,1.9199999570846558,27.0,0.011074495501816273,0.1427815705537796,2.44884991645813,-0.018319712951779366,0.03867410495877266,0.806407168507576,40.0,10240.0,25304.0266614,655360.0
98.42,2.259999990463257,26.0,0.012624531984329224,0.1638590544462204,2.434096097946167,-0.0156862735748291,0.04301845654845238,0.8250472247600555,41.0,10496.0,25916.196775200002,671744.0
97.52,1.899999976158142,26.0,0.012586827389895916,0.1721598356962204,2.4305951595306396,-0.017226824536919594,0.03999932482838631,0.8185176700353622,42.0,10752.0,26527.080826600002,688128.0
99.74,2.7899999618530273,27.0,0.011599752120673656,0.1546834260225296,2.4084665775299072,-0.02012130618095398,0.036233093589544296,0.8317722827196121,43.0,11008.0,27128.5288173,704512.0
96.57,2.5,27.0,0.012585549615323544,0.1633707731962204,2.43603253364563,-0.016543587669730186,0.043489694595336914,0.7996568828821182,44.0,11264.0,27735.1442172,720896.0
99.95,2.5899999141693115,27.0,0.011286340653896332,0.1445109099149704,2.4322168827056885,-0.015041042119264603,0.047889795154333115,0.7974013984203339,45.0,11520.0,28338.6444798,737280.0
116.37,2.880000114440918,26.0,0.014131846837699413,0.1802571564912796,2.3804633617401123,-0.01483077835291624,0.07476557046175003,0.7041840255260468,46.0,11776.0,28951.6003352,753664.0
109.17,2.809999942779541,27.0,0.014483016915619373,0.1826375275850296,2.3976616859436035,-0.018103020265698433,0.04547355696558952,0.8074347376823425,47.0,12032.0,29556.8154608,770048.0
100.35,2.6500000953674316,27.0,0.012244301848113537,0.1583048552274704,2.3755831718444824,-0.019940195605158806,0.03888508677482605,0.8446896970272064,48.0,12288.0,30159.0981054,786432.0
107.76,2.880000114440918,27.0,0.013066873885691166,0.1657511442899704,2.35325026512146,-0.017985278740525246,0.04990530014038086,0.8096632063388824,49.0,12544.0,30764.2123504,802816.0
110.17,3.5899999141693115,27.0,0.012371230870485306,0.1526896208524704,2.345299243927002,-0.01054940652102232,0.12733498215675354,0.6740365624427795,50.0,12800.0,31367.7673211,819200.0
110.38,3.109999895095825,27.0,0.014215695671737194,0.1887003630399704,2.3520872592926025,-0.016655225306749344,0.04424775764346123,0.8575278967618942,51.0,13056.0,31973.0042885,835584.0
100.73,2.200000047683716,27.0,0.01359256636351347,0.182861328125,2.3473353385925293,-0.022029399871826172,0.04199431464076042,0.8251406848430634,52.0,13312.0,32567.100279000002,851968.0
112.88,2.690000057220459,26.0,0.015127933584153652,0.1944376677274704,2.3376171588897705,-0.020249610766768456,0.041783008724451065,0.8361697643995285,53.0,13568.0,33175.0283136,868352.0
122.33,3.5999999046325684,27.0,0.01529748272150755,0.19708251953125,2.3354527950286865,-0.01507677510380745,0.07573959976434708,0.7630891054868698,54.0,13824.0,33773.0635969,884736.0
113.5,3.0999999046325684,27.0,0.010521508753299713,0.14117431640625,2.278907299041748,-0.015479575842618942,0.06166820600628853,0.8324280977249146,55.0,14080.0,34375.5473954,901120.0
118.07,3.7200000286102295,27.0,0.012551844120025635,0.16314697265625,2.274242877960205,-0.01753288321197033,0.057404790073633194,0.8266815096139908,56.0,14336.0,34969.5260315,917504.0
