eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
64.32835820895522,3.2835819721221924,1859.0,0.00032427575206384063,0.0,2.7077248096466064,-0.0006687799468636513,0.6512948870658875,0.0029457807540893555,1.0,256.0,8.811739151366055,16384.0
100.45,3.5999999046325684,3914.0,0.0015166575321927667,0.0072428383864462376,2.703516960144043,-0.0014305893564596772,0.3824419677257538,0.012773096561431885,2.0,512.0,12.998566780239344,32768.0
166.7,3.9000000953674316,3937.0,0.003358835354447365,0.02663167379796505,2.6831653118133545,-0.002704719780012965,0.34518635272979736,0.029958069324493408,3.0,768.0,17.16091714706272,49152.0
369.44,3.0999999046325684,4037.0,0.0026356622111052275,0.02266438864171505,2.6677329540252686,-0.001769727561622858,0.1866992861032486,0.09734141826629639,4.0,1024.0,21.220134722068906,65536.0
444.17,2.4000000953674316,4120.0,0.0013029486872255802,0.0005289713735692203,2.6799252033233643,-0.0008620806038379669,0.2091478854417801,0.06761479377746582,5.0,1280.0,25.197751606814563,81920.0
460.35,2.0,4096.0,0.00353388674557209,0.01959228515625,2.6823408603668213,-0.001487789093516767,0.2704593241214752,0.08454811573028564,6.0,1536.0,29.198237739503384,98304.0
368.6,3.4000000953674316,4112.0,0.001351697021164,0.0022379558067768812,2.691753625869751,-0.001138995517976582,0.4188787043094635,0.09208577871322632,7.0,1792.0,33.18399419169873,114688.0
384.98,3.799999952316284,4084.0,0.0010523578384891152,0.0005289713735692203,2.6997756958007812,-0.0019558367785066366,0.296343594789505,0.14345067739486694,8.0,2048.0,37.196262578479946,131072.0
376.76,3.5,4078.0,0.0026721300091594458,0.013509114272892475,2.6871721744537354,-0.002061814535409212,0.4781990051269531,0.1676618456840515,9.0,2304.0,41.21459648106247,147456.0
349.96,3.799999952316284,4188.0,0.0016132686287164688,0.0073038735426962376,2.678711175918579,-0.0023043991532176733,0.3522051274776459,0.22316497564315796,10.0,2560.0,45.126775508746505,163840.0
346.04,4.199999809265137,4111.0,0.0027330743614584208,0.0172119140625,2.6699612140655518,-0.0014562451979145408,0.41063201427459717,0.23587411642074585,11.0,2816.0,49.112722707912326,180224.0
352.95,4.5,4094.0,0.005248969420790672,0.06231689453125,2.6600944995880127,-0.0039392318576574326,0.3746227025985718,0.29844778776168823,12.0,3072.0,53.114845604635775,196608.0
347.64,3.700000047683716,4162.0,0.0035526202991604805,0.0367228202521801,2.659132719039917,-0.0031350639183074236,0.323066771030426,0.306712806224823,13.0,3328.0,57.05210455227643,212992.0
405.55,3.299999952316284,4180.0,0.0026640063151717186,0.01662190817296505,2.6642038822174072,-0.0032120654359459877,0.39640331268310547,0.3004757761955261,14.0,3584.0,60.9724212680012,229376.0
320.92,4.099999904632568,4144.0,0.004623543471097946,0.0497639961540699,2.65602445602417,-0.0032725781202316284,0.5602957606315613,0.2784208655357361,15.0,3840.0,64.92676387913525,245760.0
285.32,5.0,4107.0,0.003640461014583707,0.02768961526453495,2.652919054031372,-0.0030310472939163446,0.54567551612854,0.34140217304229736,16.0,4096.0,68.91677333787084,262144.0
199.94,5.199999809265137,4110.0,0.003685055300593376,0.036865234375,2.6490867137908936,-0.005298146978020668,0.7404252886772156,0.3535780906677246,17.0,4352.0,72.90395907126367,278528.0
237.19,3.9000000953674316,4088.0,0.0035642494913190603,0.0326944999396801,2.6478350162506104,-0.0045850700698792934,0.4750208556652069,0.39262259006500244,18.0,4608.0,76.9125587856397,294912.0
191.07,4.599999904632568,4031.0,0.005053774453699589,0.0495808906853199,2.6394364833831787,-0.0034336100798100233,0.7951913475990295,0.3839549422264099,19.0,4864.0,80.97752576507628,311296.0
140.11,5.900000095367432,4087.0,0.004448397550731897,0.04107666015625,2.614823579788208,-0.003412988968193531,1.0082145929336548,0.3711140751838684,20.0,5120.0,84.98678224999458,327680.0
151.92,6.099999904632568,3984.0,0.005060646217316389,0.0557861328125,2.597564697265625,-0.0037135372404009104,1.036913514137268,0.40713632106781006,21.0,5376.0,89.1001152023673,344064.0
160.0,6.400000095367432,4029.0,0.00804367009550333,0.1113688126206398,2.5891647338867188,-0.002242519287392497,0.7465944886207581,0.45508354902267456,22.0,5632.0,93.16705041844398,360448.0
139.75,5.800000190734863,4054.0,0.004215458873659372,0.0358683280646801,2.5944509506225586,-0.004613312426954508,0.877370297908783,0.4335945248603821,23.0,5888.0,97.20869574137032,376832.0
159.89,5.099999904632568,4018.0,0.004570196382701397,0.041259765625,2.5832486152648926,-0.002631915733218193,0.7287375330924988,0.47788888216018677,24.0,6144.0,101.28723196685314,393216.0
212.43,5.300000190734863,4024.0,0.005608197767287493,0.0624796561896801,2.588150978088379,-0.005957323592156172,0.46345415711402893,0.5449546575546265,25.0,6400.0,105.35948759038001,409600.0
264.93,4.900000095367432,3995.0,0.007246799301356077,0.09326171875,2.5698671340942383,-0.004494934342801571,0.40717029571533203,0.574704647064209,26.0,6656.0,109.46154157817364,425984.0
197.96,5.599999904632568,4031.0,0.006863780319690704,0.0838826522231102,2.566514015197754,-0.0051123215816915035,0.5997760891914368,0.5510765016078949,27.0,6912.0,113.5263854758814,442368.0
143.49,5.0,4058.0,0.004825272597372532,0.044677734375,2.5657765865325928,-0.004695686977356672,0.6836691498756409,0.569247841835022,28.0,7168.0,117.56435781344771,458752.0
172.51,5.199999809265137,4017.0,0.004396345932036638,0.0404052734375,2.546858787536621,-0.004399282857775688,0.6963059306144714,0.581907331943512,29.0,7424.0,121.64339687861502,475136.0
204.92,5.599999904632568,4074.0,0.0053103286772966385,0.0575358085334301,2.552994728088379,-0.004961724858731031,0.4993324279785156,0.6410074234008789,30.0,7680.0,125.66589957941324,491520.0
182.96,5.900000095367432,4161.0,0.005767149850726128,0.0595906563103199,2.551905870437622,-0.003508995519950986,0.5197893977165222,0.6447009146213531,31.0,7936.0,129.60463058762252,507904.0
231.96,5.5,4167.0,0.005798693746328354,0.0646565780043602,2.5116536617279053,-0.005239585880190134,0.5240830779075623,0.6520260870456696,32.0,8192.0,133.53738235495985,524288.0
239.43,5.0,4146.0,0.007852849550545216,0.10150146484375,2.51609206199646,-0.00540924584493041,0.4520695209503174,0.7219323217868805,33.0,8448.0,137.48966095224023,540672.0
242.03,5.900000095367432,4213.0,0.0057394555769860744,0.0632731094956398,2.4551103115081787,-0.007074104156345129,0.4754079282283783,0.7239006459712982,34.0,8704.0,141.37880601547658,557056.0
202.31,5.699999809265137,4106.0,0.008374007418751717,0.1142374649643898,2.4781548976898193,-0.007172486279159784,0.3330231010913849,0.763005331158638,35.0,8960.0,145.36967635527253,573440.0
249.91,5.800000190734863,4102.0,0.008382337167859077,0.1148681640625,2.4622302055358887,-0.006512074265629053,0.4789125919342041,0.7072024643421173,36.0,9216.0,149.36475197412074,589824.0
207.0,6.300000190734863,4148.0,0.008083819411695004,0.1054280623793602,2.4532105922698975,-0.006313711404800415,0.4890742301940918,0.7538683712482452,37.0,9472.0,153.31541378516704,606208.0
168.92,6.300000190734863,4127.0,0.005915973801165819,0.0672810897231102,2.458719491958618,-0.004741480108350515,0.5557814836502075,0.7470670640468597,38.0,9728.0,157.28569985274225,622592.0
197.94,6.300000190734863,4109.0,0.005961992312222719,0.0657755509018898,2.4621245861053467,-0.005201840773224831,0.4835498332977295,0.755024716258049,39.0,9984.0,161.27391416300088,638976.0
186.42,6.400000095367432,4088.0,0.007145646493881941,0.0874837264418602,2.439502000808716,-0.005431868601590395,0.47457531094551086,0.7830692529678345,40.0,10240.0,165.2826942903921,655360.0
171.45,6.199999809265137,4122.0,0.006873844191431999,0.084716796875,2.4816958904266357,-0.005757597740739584,0.4804626703262329,0.7142935693264008,41.0,10496.0,169.25856472551823,671744.0
